StockCode,StockName_KR,MarketCap,ClosingPrice,DailyVolume,VolumeSpike,TrendArrow,MA20,MA60,RSI(14),MACD,MACD_Signal,Volatility(ATR),OBV,PearlScore,PearlScore_Normalized,PearlScore_Stars,PearlScore_Status
452160,제이엔비,,3175.0,21664,1.3,↓,3265.25,4314.25,35.52,-213.44,-271.04,225.36,91854493,1.03,51.5,★★★☆☆,OK
039290,인포뱅크,,3520.0,13139,0.87,↑,3537.25,3742.58,44.7,-81.85,-74.91,284.29,352029676,0.72,36.0,★★☆☆☆,OK
038620,위즈코프,,2030.0,76039,1.68,↑,1896.9,2009.05,77.2,19.38,-4.92,113.64,380746790,1.16,58.0,★★★☆☆,OK
075970,동국알앤에스,,1653.0,13910,0.63,↑,1676.3,1875.0,37.07,-43.05,-50.03,68.43,834672245,0.54,27.0,★★☆☆☆,OK
060540,에스에이티,,1163.0,68809,1.07,↑,1089.2,1239.02,63.83,-12.98,-34.82,51.43,196136164,1.04,52.0,★★★☆☆,OK
407400,꿈비,,2065.0,84161,0.34,↑,2057.25,2732.65,49.19,-111.7,-152.34,179.43,251157942,0.43,21.5,★★☆☆☆,OK
246250,에스엘에스바이오,,1969.0,0,,→,1969.0,1969.0,,-0.0,-0.0,1969.0,39947955,,,☆☆☆☆☆,Data Missing
091970,LSK아이로봇,,4005.0,74652,0.22,↑,3466.25,3465.42,69.7,234.25,189.06,534.29,46856756,0.19,9.5,★☆☆☆☆,OK
335810,프리시젼바이오,,1370.0,7101,0.58,↑,1435.6,1728.95,38.24,-83.21,-87.81,106.86,62613058,0.49,24.5,★★☆☆☆,OK
012620,원일특강,,6850.0,1122,0.46,↑,6787.0,7377.5,50.0,-73.24,-117.83,178.21,7958789,0.63,31.5,★★☆☆☆,OK
033830,티비씨,,1593.0,26415,1.15,↓,1706.85,2170.62,36.3,-128.22,-142.72,51.57,315877446,0.97,48.5,★★★☆☆,OK
290090,트윔,,4040.0,1921,0.63,→,4307.5,5182.5,32.17,-250.95,-264.05,236.79,8751626,0.46,23.0,★★☆☆☆,OK
317240,TS트릴리온,,1027.0,602641,1.43,↑,784.85,1018.6,74.95,-2.86,-49.21,97.64,129872326,1.05,52.5,★★★☆☆,OK
348030,모비릭스,,3120.0,143114,1.91,↑,2814.5,2534.33,74.74,147.77,117.58,186.43,32276959,1.46,73.0,★★★★☆,OK
038950,파인디지털,,2920.0,30929,3.49,↑,2917.75,3096.17,53.75,-30.53,-40.08,158.21,132118353,4.29,100.0,★★★★★,OK
476080,M83,,3665.0,1473193,13.08,↑,3644.75,4965.33,43.87,-314.76,-396.5,330.36,77751296,14.74,100.0,★★★★★,OK
464280,티디에스팜,,5350.0,10975,0.64,↓,5801.0,6942.33,32.29,-338.0,-350.75,428.57,9802529,0.46,23.0,★★☆☆☆,OK
239610,에이치엘사이언스,,5520.0,3970,2.73,↑,5382.5,6380.33,63.77,-106.81,-180.11,150.0,14186309,2.7,100.0,★★★★★,OK
310870,디와이씨,,1341.0,136576,0.73,↓,1265.25,1388.92,60.41,16.21,-7.18,107.79,90311388,0.75,37.5,★★☆☆☆,OK
088340,유라클,,6730.0,24809,1.18,↑,6595.5,8820.67,46.73,-435.13,-596.71,515.71,57464461,1.43,71.5,★★★★☆,OK
106240,파인테크닉스,,1230.0,44945,0.52,↓,1262.7,1562.07,39.41,-32.84,-44.91,106.86,1009935028,0.45,22.5,★★☆☆☆,OK
311390,네오크레마,,2320.0,29171,1.17,↑,2466.5,3158.17,31.93,-176.08,-191.56,172.14,106414890,0.83,41.5,★★★☆☆,OK
131090,시큐브,,3820.0,3007,0.22,↓,3731.25,3816.33,58.62,26.98,7.93,125.36,251192068,0.28,14.0,★☆☆☆☆,OK
026040,제이에스티나,,1772.0,21442,0.23,↓,1850.8,2237.68,45.66,-75.39,-84.98,188.43,189799062,0.23,11.5,★☆☆☆☆,OK
271830,팸텍,,977.0,131356,0.39,→,1023.95,1375.95,34.5,-113.38,-131.08,74.14,52361476,0.3,15.0,★☆☆☆☆,OK
318010,팜스빌,,3645.0,1499,0.12,↓,3557.0,3534.33,59.9,58.23,48.62,138.57,16514628,0.15,7.5,★☆☆☆☆,OK
119500,포메탈,,2465.0,31520,0.76,↓,2506.75,3168.25,42.01,-124.31,-160.18,133.21,445573701,0.73,36.5,★★☆☆☆,OK
096630,에스코넥,,1830.0,10982,0.18,↓,1844.0,2518.0,50.39,-129.37,-171.7,124.29,401193124,0.2,10.0,★☆☆☆☆,OK
068100,케이웨더,,2410.0,5910,0.22,↓,2287.75,2349.08,78.95,39.99,13.4,193.07,57255686,0.14,7.0,★☆☆☆☆,OK
053290,NE능률,,1732.0,28282,0.35,↓,1529.0,1620.3,68.01,89.29,45.33,173.14,780303182,0.33,16.5,★☆☆☆☆,OK
069410,엔텔스,,2790.0,9254,0.42,→,3042.5,3903.42,25.13,-266.06,-286.46,164.64,202815813,0.24,12.0,★☆☆☆☆,OK
187270,신화콘텍,,2815.0,28298,1.98,↑,2878.0,3289.92,43.17,-110.63,-123.76,156.07,192281761,1.94,97.0,★★★★★,OK
289220,자이언트스텝,,1274.0,31931,0.88,↑,1303.7,1830.72,41.37,-111.3,-135.3,92.5,199240485,0.81,40.5,★★☆☆☆,OK
444530,심플랫폼,,4445.0,14465,0.85,↑,4711.5,7411.83,37.72,-665.51,-763.66,433.57,61844595,0.7,35.0,★★☆☆☆,OK
